OrderedDict([('biweek', '24'), ('year', '1907'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '139745.6683')])
OrderedDict([('biweek', '25'), ('year', '1907'), ('loc', 'WORCESTER'), ('cases', '14'), ('pop', '139853.217')])
OrderedDict([('biweek', '26'), ('year', '1907'), ('loc', 'WORCESTER'), ('cases', '12'), ('pop', '139960.947')])
OrderedDict([('biweek', '1'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '20'), ('pop', '140068.8605')])
OrderedDict([('biweek', '2'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '18'), ('pop', '140176.9595')])
OrderedDict([('biweek', '3'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '24'), ('pop', '140285.2462')])
OrderedDict([('biweek', '4'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '21'), ('pop', '140393.7227')])
OrderedDict([('biweek', '5'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '42'), ('pop', '140502.3912')])
OrderedDict([('biweek', '6'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '58'), ('pop', '140611.2538')])
OrderedDict([('biweek', '7'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '87'), ('pop', '140720.3126')])
OrderedDict([('biweek', '8'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '54'), ('pop', '140829.5697')])
OrderedDict([('biweek', '9'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '59'), ('pop', '140939.0274')])
OrderedDict([('biweek', '10'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '74'), ('pop', '141048.6876')])
OrderedDict([('biweek', '11'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '68'), ('pop', '141158.5526')])
OrderedDict([('biweek', '12'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '25'), ('pop', '141268.6245')])
OrderedDict([('biweek', '13'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '7'), ('pop', '141378.9054')])
OrderedDict([('biweek', '14'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '19'), ('pop', '141489.3974')])
OrderedDict([('biweek', '15'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '13'), ('pop', '141600.1028')])
OrderedDict([('biweek', '16'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '6'), ('pop', '141711.0235')])
OrderedDict([('biweek', '17'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '4'), ('pop', '141822.1617')])
OrderedDict([('biweek', '18'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '141933.5197')])
OrderedDict([('biweek', '19'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '142045.0994')])
OrderedDict([('biweek', '20'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '142156.9031')])
OrderedDict([('biweek', '21'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '142268.9328')])
OrderedDict([('biweek', '22'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '6'), ('pop', '142381.1907')])
OrderedDict([('biweek', '23'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '4'), ('pop', '142493.679')])
OrderedDict([('biweek', '24'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '142606.3997')])
OrderedDict([('biweek', '25'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '142719.355')])
OrderedDict([('biweek', '26'), ('year', '1908'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '142832.547')])
