OrderedDict([('biweek', '26'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '77'), ('pop', '753602.8973')])
OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '108'), ('pop', '143555')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '79'), ('pop', '143647.6547')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '38'), ('pop', '143739.3198')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '10'), ('pop', '143829.9994')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '7'), ('pop', '143919.698')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '6'), ('pop', '144008.4196')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '7'), ('pop', '144096.1688')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '8'), ('pop', '144182.9496')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '5'), ('pop', '144268.7665')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '3'), ('pop', '144353.6236')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '5'), ('pop', '144437.5253')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '2'), ('pop', '144520.4758')])
OrderedDict([('biweek', '13'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '4'), ('pop', '144602.4794')])
OrderedDict([('biweek', '14'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', 'NA'), ('pop', '144683.5405')])
OrderedDict([('biweek', '15'), ('year', '1920'), ('loc', 'BRIDGEPORT'), ('cases', '4'), ('pop', '144763.6632')])
